Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 038, F, 0, 0, 0, 0, 0, 100, 0, 13, 1, 587, 0, 113, 200, 783, 4488, 100, 64, 35, 100, 200, 300, 883, 4501
INVAR-10, Run: 039, F, 0, 0, 0, 0, 0, 100, 0, 126, 1, 474, 0, 226, 200, 837, 4106, 100, 63, 36, 100, 200, 300, 937, 4232
INVAR-10, Run: 040, F, 0, 0, 0, 0, 0, 100, 0, 122, 1, 478, 0, 222, 200, 1021, 6649, 100, 66, 33, 100, 200, 300, 1121, 6771
INVAR-10, Run: 041, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 1010, 5640, 100, 63, 36, 100, 200, 300, 1110, 5640
INVAR-10, Run: 042, F, 0, 0, 0, 0, 0, 100, 0, 48, 1, 552, 0, 148, 200, 816, 4505, 100, 67, 32, 100, 200, 300, 916, 4553
INVAR-10, Run: 043, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 859, 4301, 100, 57, 42, 100, 200, 300, 959, 4301
INVAR-10, Run: 044, F, 0, 0, 0, 0, 0, 100, 0, 396, 1, 204, 0, 496, 200, 821, 4903, 100, 55, 44, 100, 200, 300, 921, 5299
INVAR-10, Run: 045, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 839, 4132, 100, 66, 33, 100, 200, 300, 939, 4132
INVAR-10, Run: 046, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 746, 4290, 100, 55, 44, 100, 200, 300, 846, 4290
INVAR-10, Run: 047, F, 0, 0, 0, 0, 0, 100, 0, 25, 1, 575, 0, 125, 200, 827, 5440, 100, 55, 44, 100, 200, 300, 927, 5465
INVAR-10, Run: 048, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 739, 4228, 100, 62, 37, 100, 200, 300, 839, 4228
INVAR-10, Run: 049, F, 0, 0, 0, 0, 0, 100, 0, 22, 1, 578, 0, 122, 200, 899, 5145, 100, 61, 38, 100, 200, 300, 999, 5167
INVAR-10, Run: 050, F, 0, 0, 0, 0, 0, 100, 0, 477, 1, 123, 0, 577, 200, 903, 5444, 100, 71, 28, 100, 200, 300, 1003, 5921
INVAR-10, Run: 051, F, 0, 0, 0, 0, 0, 100, 0, 24, 1, 576, 0, 124, 200, 682, 3949, 100, 59, 40, 100, 200, 300, 782, 3973
INVAR-10, Run: 052, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 870, 5397, 100, 59, 40, 100, 200, 300, 970, 5397
